date,value
2017-08-25,9.3900
2017-08-28,9.3645
2017-08-29,9.3335
2017-08-30,9.2915
2017-08-31,9.4345
2017-09-01,9.4950
2017-09-05,9.6850
2017-09-06,9.7100
2017-09-07,9.6875
2017-09-08,9.6200
2017-09-11,9.6000
2017-09-12,9.5050
2017-09-13,9.6050
2017-09-14,9.7600
2017-09-15,9.6875
2017-09-18,9.6775
2017-09-19,9.6550
2017-09-20,9.7000
2017-09-21,9.7075
2017-09-22,9.8425
2017-09-25,9.7125
2017-09-26,9.6350
2017-09-27,9.6550
2017-09-28,9.5950
2017-09-29,9.6825
2017-10-02,9.5725
2017-10-03,9.5525
2017-10-04,9.5825
2017-10-05,9.6825
2017-10-06,9.7225
2017-10-09,9.6675
2017-10-10,9.6600
2017-10-11,9.6525
2017-10-12,9.9200
2017-10-13,10.0025
2017-10-16,9.9100
2017-10-17,9.8475
2017-10-18,9.8425
2017-10-19,9.8650
2017-10-20,9.7875
2017-10-23,9.8075
2017-10-24,9.7550
2017-10-25,9.7550
2017-10-26,9.7350
2017-10-27,9.7975
2017-10-30,9.7980
2017-10-31,9.8255
2017-11-01,9.9125
2017-11-02,9.9925
2017-11-03,9.8675
2017-11-06,9.9400
2017-11-07,9.9600
2017-11-08,9.9850
2017-11-09,9.8500
2017-11-10,9.8700
2017-11-13,9.7425
2017-11-14,9.6775
2017-11-15,9.7625
2017-11-16,9.7200
2017-11-17,9.9050
2017-11-20,9.9000
2017-11-21,9.8900
2017-11-22,9.9725
2017-11-24,9.9325
2017-11-27,9.9600
2017-11-28,9.9300
2017-11-29,9.9250
2017-11-30,9.8575
2017-12-01,9.9425
2017-12-04,9.9850
2017-12-05,10.0850
2017-12-06,10.0275
2017-12-07,9.9200
2017-12-08,9.8975
2017-12-11,9.8250
2017-12-12,9.7575
2017-12-13,9.7925
2017-12-14,9.6775
2017-12-15,9.6725
2017-12-18,9.6150
2017-12-19,9.5600
2017-12-20,9.5400
2017-12-21,9.4875
2017-12-22,9.4950
2017-12-26,9.6150
2017-12-27,9.6030
2017-12-28,9.5235
2017-12-29,9.5975
2018-01-02,9.6475
2018-01-03,9.6875
2018-01-04,9.6775
2018-01-05,9.7075
2018-01-08,9.6675
2018-01-09,9.6375
2018-01-10,9.5500
2018-01-11,9.5000
2018-01-12,9.6050
2018-01-16,9.6800
2018-01-17,9.6875
2018-01-18,9.7300
2018-01-19,9.7725
2018-01-22,9.8425
2018-01-23,9.8625
2018-01-24,9.9225
2018-01-25,9.9225
2018-01-26,9.8550
2018-01-29,9.9150
2018-01-30,10.0025
2018-01-31,9.9575
2018-02-01,9.8500
2018-02-02,9.7875
2018-02-05,9.6975
2018-02-06,9.8625
2018-02-07,9.8300
2018-02-08,9.8775
2018-02-09,9.8300
2018-02-12,10.0175
2018-02-13,10.1175
2018-02-14,10.1725
2018-02-15,10.2425
2018-02-16,10.2150
2018-02-20,10.2650
2018-02-21,10.3425
2018-02-22,10.3200
2018-02-23,10.3850
2018-02-26,10.3895
2018-02-27,10.4490
2018-02-28,10.5340
2018-03-01,10.6800
2018-03-02,10.7100
2018-03-05,10.7750
2018-03-06,10.7475
2018-03-07,10.6525
2018-03-08,10.6400
2018-03-09,10.3925
2018-03-12,10.4100
2018-03-13,10.4875
2018-03-14,10.3225
2018-03-15,10.4075
2018-03-16,10.4950
2018-03-19,10.2250
2018-03-20,10.2825
2018-03-21,10.2975
2018-03-22,10.2975
2018-03-23,10.2825
2018-03-26,10.2550
2018-03-27,10.1950
2018-03-28,10.1800
2018-03-29,10.4475
2018-04-02,10.3550
2018-04-03,10.3800
2018-04-04,10.1525
2018-04-05,10.3125
2018-04-06,10.3375
2018-04-09,10.4700
2018-04-10,10.5000
2018-04-11,10.4775
2018-04-12,10.6075
2018-04-13,10.5425
2018-04-16,10.4200
2018-04-17,10.4600
2018-04-18,10.4175
2018-04-19,10.3725
2018-04-20,10.2875
2018-04-23,10.2075
2018-04-24,10.2225
2018-04-25,10.2985
2018-04-26,10.3260
2018-04-27,10.5175
2018-04-30,10.4635
2018-05-01,10.5325
2018-05-02,10.4300
2018-05-03,10.5325
2018-05-04,10.3675
2018-05-07,10.1150
2018-05-08,10.2025
2018-05-09,10.1575
2018-05-10,10.2125
2018-05-11,10.0325
2018-05-14,10.1775
2018-05-15,10.1875
2018-05-16,9.9975
2018-05-17,9.9500
2018-05-18,9.9850
2018-05-21,10.2525
2018-05-22,10.3050
2018-05-23,10.3925
