date,value
2016-04-08,3.6225
2016-04-11,3.5675
2016-04-12,3.6275
2016-04-13,3.7350
2016-04-14,3.7400
2016-04-15,3.7850
2016-04-18,3.8100
2016-04-19,3.8450
2016-04-20,3.9475
2016-04-21,3.8450
2016-04-22,3.7175
2016-04-25,3.7700
2016-04-26,3.8325
2016-04-27,3.8235
2016-04-28,3.8955
2016-04-29,3.9145
2016-05-02,3.9175
2016-05-03,3.7975
2016-05-04,3.7675
2016-05-05,3.7375
2016-05-06,3.7750
2016-05-09,3.6900
2016-05-10,3.8100
2016-05-11,3.7750
2016-05-12,3.8900
2016-05-13,3.9075
2016-05-16,3.9400
2016-05-17,3.9700
2016-05-18,3.9950
2016-05-19,3.9000
2016-05-20,3.9450
2016-05-23,3.9775
2016-05-24,3.9750
2016-05-25,4.0475
2016-05-26,4.0825
2016-05-27,4.1275
2016-05-31,4.0475
2016-06-01,4.1375
2016-06-02,4.1525
2016-06-03,4.1825
2016-06-06,4.2725
2016-06-07,4.2775
2016-06-08,4.3125
2016-06-09,4.2650
2016-06-10,4.2300
2016-06-13,4.3000
2016-06-14,4.3650
2016-06-15,4.2900
2016-06-16,4.2525
2016-06-17,4.3775
2016-06-20,4.2125
2016-06-21,3.9625
2016-06-22,3.9300
2016-06-23,3.8725
2016-06-24,3.8450
2016-06-27,3.8605
2016-06-28,3.8665
2016-06-29,3.7575
2016-06-30,3.6415
2016-07-01,3.6000
2016-07-05,3.5075
2016-07-06,3.4150
2016-07-07,3.4175
2016-07-08,3.5500
2016-07-11,3.4825
2016-07-12,3.5225
2016-07-13,3.6200
2016-07-14,3.5775
2016-07-15,3.5225
2016-07-18,3.5700
2016-07-19,3.4175
2016-07-20,3.3750
2016-07-21,3.3425
2016-07-22,3.3500
2016-07-25,3.3475
2016-07-26,3.3250
2016-07-27,3.3575
2016-07-28,3.3125
2016-07-29,3.3450
2016-08-01,3.2575
2016-08-02,3.2425
2016-08-03,3.2500
2016-08-04,3.2075
2016-08-05,3.2425
2016-08-08,3.2525
2016-08-09,3.2225
2016-08-10,3.2250
2016-08-11,3.2100
2016-08-12,3.2225
2016-08-15,3.2650
2016-08-16,3.2750
2016-08-17,3.3025
2016-08-18,3.3200
2016-08-19,3.3425
2016-08-22,3.3325
2016-08-23,3.2850
2016-08-24,3.2750
2016-08-25,3.2350
2016-08-26,3.1800
2016-08-29,3.1535
2016-08-30,3.1105
2016-08-31,3.1270
2016-09-01,3.2375
2016-09-02,3.2850
2016-09-06,3.2850
2016-09-07,3.3325
2016-09-08,3.3850
2016-09-09,3.4100
2016-09-12,3.3950
2016-09-13,3.3000
2016-09-14,3.3175
2016-09-15,3.3000
2016-09-16,3.3700
2016-09-19,3.3725
2016-09-20,3.4050
